"Discussion, original","Attendees, original","Discussion, kaava","Attendees, kaava","Discussion, kaava","Attendees, kaava","Discussion, yhdistetty","Attendees, yhdistetty",Date text,Kaava pvm,"kaava, eka pvm","kaava, määräävä rivi",Date,"Date, original",Location,,,Source,Topics,link
Hu Jintao met with South Korean President Lee Myung-bak.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Myung-bak Lee",Hu Jintao met with South Korean President Lee Myung-bak.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Myung-bak Lee",Hu Jintao met with South Korean President Lee Myung-bak.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Myung-bak Lee","Hu Jintao arrived at the airport in Ottawa for a state visit to Canada., Hu Jintao held talks with Canadian Prime Minister Stephen Harper., Hu Jintao met with Canadian Senate Speaker Noel A. Kinsella and Speaker of the House of Commons Peter Milliken., Hu Jintao met with British Prime Minister David Cameron., Hu Jintao met with Russian President Dmitry Medvedev., Hu Jintao met with U.S. President Barack Obama., Hu Jintao attended a plenary session of the fourth summit of the Group of 20 (G20)., Hu Jintao met with Japanese Prime Minister Kan Naoto., Hu Jintao met with South Korean President Lee Myung-bak.","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Lawrence Cannon, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Stephen Harper, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Noel A. Kinsella, Peter Milliken, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, David Cameron, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Dmitry Medvedev, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Barack Obama, Hu Jintao, Ling Jihua, Wang Huning, Wang Qishan, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Kan Naoto, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Myung-bak Lee",23.6.2010 - 28.6.2010,28.6.2010,28.6.2010,TRUE,28.6.2010,"June 28, 2010",Canada,Toronto,,http://news.xinhuanet.com/english2010/china/2010-06/28/c_13372323.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=8476
Hu Jintao met with Kazakh President Nursultan Nazarbayev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Nursultan Nazarbayev",Hu Jintao met with Kazakh President Nursultan Nazarbayev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Nursultan Nazarbayev",Hu Jintao met with Kazakh President Nursultan Nazarbayev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Nursultan Nazarbayev",Hu Jintao met with Kazakh President Nursultan Nazarbayev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Nursultan Nazarbayev",12.6.2010,12.6.2010,12.6.2010,TRUE,12.6.2010,"June 12, 2010",Kazakhstan,Astana,,http://news.xinhuanet.com/english2010/china/2010-06/12/c_13346899.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=8440
Hu Jintao met with President of Turkmenistan Gurbanguly Berdymukhamedov.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Gurbanguly Berdymukhamedov",Hu Jintao met with President of Turkmenistan Gurbanguly Berdymukhamedov.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Gurbanguly Berdymukhamedov",Hu Jintao met with President of Turkmenistan Gurbanguly Berdymukhamedov.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Gurbanguly Berdymukhamedov","Hu Jintao met with Uzbekistan's President Islam Karimov., Hu Jintao met with Tajik President Emomali Rakhmon., Hu Jintao met with Russian President Dmitri Medvedev., Hu Jintao attended the Shanghai Cooperation Organization (SCO) summit., Hu Jintao met with President of Turkmenistan Gurbanguly Berdymukhamedov.","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Islam Karimov, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Emomali Rakhmon, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Dmitri Medvedev, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Dmitry Medvedev, Nursultan Nazarbayev, Islam Karimov, Emomali Rakhmon, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Gurbanguly Berdymukhamedov",9.6.2010 - 11.6.2010,11.6.2010,11.6.2010,TRUE,11.6.2010,"June 11, 2010",Uzbekistan,Tashkent,,http://news.xinhuanet.com/english2010/china/2010-06/11/c_13345884.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=8436
Hu Jintao met with Russian President Dmitry Medvedev.,"Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Dmitry Medvedev",Hu Jintao met with Russian President Dmitry Medvedev.,"Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Dmitry Medvedev",Hu Jintao met with Russian President Dmitry Medvedev.,"Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Dmitry Medvedev","Hu Jintao met with representatives of the Russian war veterans who helped China battle Japanese troops in the World Anti-Fascist War., Hu Jintao met with Russian Prime Minister Vladimir Putin., Hu Jintao joined other state leaders in celebrations marking the 65th anniversary of Russia's victory., Hu Jintao met with Russian President Dmitry Medvedev.","Hu Jintao, Dai Bingguo, Ling Jihua, Ma Xiaotian, Wang Huning, Yang Jiechi, Hu Jintao, Dai Bingguo, Ling Jihua, Ma Xiaotian, Wang Huning, Yang Jiechi, Vladimir Putin, Hu Jintao, Dai Bingguo, Ling Jihua, Ma Xiaotian, Wang Huning, Yang Jiechi, Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Dmitry Medvedev",8.5.2010 - 9.5.2010,9.5.2010,9.5.2010,TRUE,9.5.2010,"May 09, 2010",Russia,Moscow,,http://news.xinhuanet.com/english2010/china/2010-05/09/c_13284332.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=8342
"Hu Jintao attended the second summit meeting of BRIC (Brazil, Russia, India and China) leaders.","Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Luiz Inacio da Silva Lula, Dmitry Medvedev, Manmohan Singh","Hu Jintao attended the second summit meeting of BRIC (Brazil, Russia, India and China) leaders.","Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Luiz Inacio da Silva Lula, Dmitry Medvedev, Manmohan Singh","Hu Jintao attended the second summit meeting of BRIC (Brazil, Russia, India and China) leaders.","Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Luiz Inacio da Silva Lula, Dmitry Medvedev, Manmohan Singh","Hu Jintao attended the second summit meeting of BRIC (Brazil, Russia, India and China) leaders.","Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Luiz Inacio da Silva Lula, Dmitry Medvedev, Manmohan Singh",15.4.2010,15.4.2010,15.4.2010,TRUE,15.4.2010,"April 15, 2010",Brazil,Brasilia,,http://news.xinhuanet.com/english2010/china/2010-04/16/c_13253529.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=8298
Hu Jintao attended the first plenary session of the Nuclear Security Summit.,"Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi",Hu Jintao attended the first plenary session of the Nuclear Security Summit.,"Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi",Hu Jintao attended the first plenary session of the Nuclear Security Summit.,"Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi","Hu Jintao met with U.S. President Barack Obama., Hu Jintao attended the first plenary session of the Nuclear Security Summit.","Hu Jintao, Chen Deming, Dai Bingguo, Li Yizhong, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Zhang Yesui, Barack Obama, Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi",12.4.2010 - 13.4.2010,13.4.2010,13.4.2010,TRUE,13.4.2010,"April 13, 2010",USA,Washington D.C.,,http://news.xinhuanet.com/english2010/china/2010-04/14/c_13249922.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=8295
"Hu Jintao, Turkmen President Gurbanguly Berdymukhamedov, Kazakh President Nursultan Nazarbayev and Uzbek President Islam Karimov attended the inauguration ceremony of the China-Central Asia natural gas pipeline in the gas plant.","Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Gurbanguly Berdymukhamedov, Nursultan Nazarbayev, Islam Karimov","Hu Jintao, Turkmen President Gurbanguly Berdymukhamedov, Kazakh President Nursultan Nazarbayev and Uzbek President Islam Karimov attended the inauguration ceremony of the China-Central Asia natural gas pipeline in the gas plant.","Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Gurbanguly Berdymukhamedov, Nursultan Nazarbayev, Islam Karimov","Hu Jintao, Turkmen President Gurbanguly Berdymukhamedov, Kazakh President Nursultan Nazarbayev and Uzbek President Islam Karimov attended the inauguration ceremony of the China-Central Asia natural gas pipeline in the gas plant.","Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Gurbanguly Berdymukhamedov, Nursultan Nazarbayev, Islam Karimov","Hu Jintao met with Uzbek President Islam Karimov., Hu Jintao met with Turkmen President Gurbanguly Berdymukhamedov., Hu Jintao, Turkmen President Gurbanguly Berdymukhamedov, Kazakh President Nursultan Nazarbayev and Uzbek President Islam Karimov attended the inauguration ceremony of the China-Central Asia natural gas pipeline in the gas plant.","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Islam Karimov, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Gurbanguly Berdymukhamedov, Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Gurbanguly Berdymukhamedov, Nursultan Nazarbayev, Islam Karimov",13.12.2009 - 14.12.2009,14.12.2009,14.12.2009,TRUE,14.12.2009,"December 14, 2009",Turkmenistan,,,http://news.xinhuanet.com/english/2009-12/14/content_12645369.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=8001
Hu Jintao met with Kazakhstan's President Nursultan Nazarbayev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Nursultan Nazarbayev",Hu Jintao met with Kazakhstan's President Nursultan Nazarbayev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Nursultan Nazarbayev",Hu Jintao met with Kazakhstan's President Nursultan Nazarbayev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Nursultan Nazarbayev",Hu Jintao met with Kazakhstan's President Nursultan Nazarbayev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Nursultan Nazarbayev",12.12.2009,12.12.2009,12.12.2009,TRUE,12.12.2009,"December 12, 2009",Kazakhstan,Astana,,http://news.xinhuanet.com/english/2009-12/13/content_12638012.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=7997
Hu Jintao met with Russian President Dmitry Medvedev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Dmitry Medvedev",Hu Jintao met with Russian President Dmitry Medvedev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Dmitry Medvedev",Hu Jintao met with Russian President Dmitry Medvedev.,"Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Dmitry Medvedev","Hu Jintao met with Singapore's Minister Mentor Lee Kuan Yew., Hu Jintao met with Singapore's President S.R. Nathan., Hu Jintao met with Singapore's Prime Minister Lee Hsien Loong., Hu Jintao and his wife Liu Yongqing met with Donald Tsang, Chief Executive of the Government of Hong Kong Special Administrative Region (SAR) of China, and his wife Selina., Hu Jintao and his wife Liu Yongqing met with Lien Chan, the honorary chairman of Kuomintang (KMT), and his wife Lien Fang-yu., Hu Jintao attended APEC Economic Leaders Meeting., Hu Jintao delivered a speech entitled ""Strengthen Confidence in Cooperation and Revive the World Economy"" at the Asia-Pacific Economic Cooperation (APEC) CEO Summit., Hu Jintao addressed the 17th Economic Leaders Meeting of the Asia-Pacific Economic Cooperation (APEC)., Hu Jintao met with Russian President Dmitry Medvedev.","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Kuan Yew Lee, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, S.R. Nathan, Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Zhang Ping, Hsien Loong Lee, Hu Jintao, Donald Tsang, Hu Jintao, Chan Lien, Hu Jintao, Dai Bingguo, Ling Jihua, Wang Huning, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Hu Jintao, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Dmitry Medvedev",11.11.2009 - 15.11.2009,15.11.2009,15.11.2009,TRUE,15.11.2009,"November 15, 2009",Singapore,Singapore City,,http://news.xinhuanet.com/english/2009-11/14/content_12456221.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=7911
"Hu Jintao and Malaysian Prime Minister Najib Tun Razak met to discuss further development of the strategic and cooperative ties between China and Malaysia. 
","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Tun Razak Najib","Hu Jintao and Malaysian Prime Minister Najib Tun Razak met to discuss further development of the strategic and cooperative ties between China and Malaysia. 
","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Tun Razak Najib","Hu Jintao and Malaysian Prime Minister Najib Tun Razak met to discuss further development of the strategic and cooperative ties between China and Malaysia. 
","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Tun Razak Najib","Hu Jintao met with Malaysian Supreme Head of State Mizan Abidin., Hu Jintao and Malaysian Prime Minister Najib Tun Razak met to discuss further development of the strategic and cooperative ties between China and Malaysia. 
","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Abidin Mizan, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Yang Jiechi, Zhang Ping, Tun Razak Najib",10.11.2009 - 11.11.2009,11.11.2009,11.11.2009,TRUE,11.11.2009,"November 11, 2009",Malaysia,Kuala Lumpur,,http://news.xinhuanet.com/english/2009-11/11/content_12430106.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=7890
Hu Jintao attended the Group of 20 (G20) Financial Summit.,"Hu Jintao, Wang Qishan, Yang Jiechi, Zhou Xiaochuan",Hu Jintao attended the Group of 20 (G20) Financial Summit.,"Hu Jintao, Wang Qishan, Yang Jiechi, Zhou Xiaochuan",Hu Jintao attended the Group of 20 (G20) Financial Summit.,"Hu Jintao, Wang Qishan, Yang Jiechi, Zhou Xiaochuan","Hu Jintao met with Japan's new Prime Minister Yukio Hatoyama., Hu Jintao met with French President Nicolas Sarkozy., Hu Jintao addressed the opening ceremony of the United Nations Climate Change Summit., Hu Jintao met with U.S. President Barack Obama., Hu Jintao met with Russian President Dmitry Medvedev., Hu Jintao addressed the 64th United Nations General Assembly at the UN headquarters., Hu Jintao addressed the Summit on Nuclear Non-Proliferation and Nuclear Disarmament at the United Nations headquarters., Hu Jintao attended the Group of 20 (G20) Financial Summit.","Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Yukio Hatoyama, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Nicolas Sarkozy, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Barack Obama, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Dmitry Medvedev, Hu Jintao, Chen Deming, Dai Bingguo, Ling Jihua, Wang Huning, Wang Qishan, Xie Xuren, Yang Jiechi, Zhang Ping, Zhou Xiaochuan, Hu Jintao, Dai Bingguo, Yang Jiechi, Hu Jintao, Wang Qishan, Yang Jiechi, Zhou Xiaochuan",21.9.2009 - 25.9.2009,25.9.2009,25.9.2009,TRUE,25.9.2009,"September 25, 2009",USA,Pennsylvania,Pittsburgh,http://news.xinhuanet.com/english/2009-09/25/content_12112464.htm,foreign relations,http://www.chinavitae.com//vip/index.php?mode=show&id=7770
